slug,name,programming_kind,technical,load,overall,recommended_age_min,attention_demand,source,notes
medicine-ball-overhead-throw,"Medicine Ball Overhead Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
medicine-ball-rotational-wall-throw,"Medicine Ball Rotational Wall Throw",exercise,4,5,5,9,moderate,reviewed,"Workout exercise — load 5/10, technical 4/10"
tall-kneeling-medicine-ball-chest-pass,"Tall-Kneeling Medicine Ball Chest Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
half-kneeling-medicine-ball-shot-put-throw,"Half-Kneeling Medicine Ball Shot-Put Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
split-stance-medicine-ball-rotational-throw,"Split-Stance Medicine Ball Rotational Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-countermovement-throw,"Medicine Ball Countermovement Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-overhead-slam,"Slam Ball Overhead Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-rotational-slam,"Slam Ball Rotational Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-side-to-side-slam,"Slam Ball Side-to-Side Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-scoop-slam,"Slam Ball Scoop Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-rainbow-slam,"Slam Ball Rainbow Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
kneeling-slam-ball-slam,"Kneeling Slam Ball Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
split-stance-slam-ball-slam,"Split-Stance Slam Ball Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
step-behind-rotational-slam-ball-slam,"Step-Behind Rotational Slam Ball Slam",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
slam-ball-slam-to-sprint-start,"Slam Ball Slam to Sprint Start",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-dead-bug-press,"Medicine Ball Dead Bug Press",exercise,2,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 2/10"
medicine-ball-hollow-body-hold,"Medicine Ball Hollow Body Hold",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-v-up-pass,"Medicine Ball V-Up Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-russian-twist-controlled,"Medicine Ball Russian Twist - Controlled",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
tall-kneeling-medicine-ball-chop,"Tall-Kneeling Medicine Ball Chop",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
half-kneeling-medicine-ball-lift,"Half-Kneeling Medicine Ball Lift",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-plank-pull-through,"Medicine Ball Plank Pull-Through",exercise,2,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 2/10"
medicine-ball-rollout,"Medicine Ball Rollout",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-push-up-hand-switch,"Medicine Ball Push-Up Hand Switch",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
partner-medicine-ball-sit-up-throw,"Partner Medicine Ball Sit-Up Throw",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-chest-pass-catch-and-stick,"Medicine Ball Chest Pass Catch-and-Stick",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-scoop-toss-catch-and-stick,"Medicine Ball Scoop Toss Catch-and-Stick",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-lateral-shuffle-pass,"Medicine Ball Lateral Shuffle Pass",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
medicine-ball-catch-to-decel-stick,"Medicine Ball Catch-to-Decel Stick",exercise,4,4,4,7,low,reviewed,"Workout exercise — load 4/10, technical 4/10"
