slug,name,programming_kind,technical,load,overall,recommended_age_min,attention_demand,source,notes
back-squat,"Back Squat",exercise,5,5,5,12,moderate,reviewed,"Expert-reviewed override"
worlds-greatest-stretch,"World's Greatest Stretch",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
hollow-body-hold,"Hollow Body Hold",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
handstand-hold,"Handstand Hold",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
cartwheel,"Cartwheel Hand-Placement Line Drill",skill_drill,3,1,3,,low,reviewed,"Expert-reviewed override"
round-off,"Round-Off Snap-Down Shape Drill",skill_drill,6,1,6,,moderate,reviewed,"Skill drill — gates on class/athlete level (INTERMEDIATE)"
precision-jump,"Precision Jump",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
9090-breathing-with-reach,"90/90 Breathing with Reach",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
crocodile-breathing,"Crocodile Breathing",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
full-body-joint-cars-flow,"Full-Body Joint CARs Flow",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
neck-cars,"Neck CARs",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
cat-cow,"Cat-Cow",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
quadruped-spinal-circles,"Quadruped Spinal Circles",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
quadruped-thread-the-needle,"Quadruped Thread the Needle",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
side-lying-open-book,"Side-Lying Open Book",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
inchworm-walkout,"Inchworm Walkout",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wrist-rockers-palms-down,"Wrist Rockers — Palms Down",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wrist-rockers-palms-up,"Wrist Rockers — Palms Up / Flexor Bias",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
finger-pulses,"Finger Pulses / Palm Lifts",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
scapular-push-up,"Scapular Push-Up",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
quadruped-shoulder-circles,"Quadruped Shoulder Circles",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
wall-slides-with-lift-off,"Wall Slides with Lift-Off",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
band-external-rotation,"Band External Rotation / No-Money Drill",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
arm-circles,"Arm Circles / Shoulder CARs",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
bear-crawl-rock-back,"Bear Crawl Rock-Back",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
down-dog-to-plank-wave,"Down Dog to Plank Wave",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
knee-to-wall-ankle-rockers,"Knee-to-Wall Ankle Rockers",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
half-kneeling-ankle-dorsiflexion-pulse,"Half-Kneeling Ankle Dorsiflexion Pulse",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
ankle-cars,"Ankle CARs",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
tibialis-raises,"Tibialis Raises",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
calf-raise-to-heel-drop,"Calf Raise to Controlled Heel Drop",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
toe-yoga,"Toe Yoga",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
short-foot-drill,"Short-Foot Drill",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
foot-tripod-weight-shifts,"Foot Tripod Weight Shifts",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
low-pogos,"Low Pogos / Ankling Bounce",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
jump-rope-easy-bounce,"Jump Rope Easy Bounce",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
walking-knee-hug,"Walking Knee Hug",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
walking-quad-pull,"Walking Quad Pull",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
leg-swings-front-back,"Leg Swings — Front/Back",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
leg-swings-lateral,"Leg Swings — Lateral",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
9090-hip-switch,"90/90 Hip Switch",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
shin-box-switch,"Shin Box Switch",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
shin-box-get-up,"Shin Box Get-Up",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
hip-cars,"Hip CARs — Standing or Quadruped",exercise,2,1,2,6,low,reviewed,"Workout exercise — load 1/10, technical 2/10"
adductor-rockback,"Adductor Rockback",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
frog-rockback,"Frog Rockback",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
cossack-shift,"Cossack Shift — Low Amplitude",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
deep-squat-pry,"Deep Squat Pry",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
squat-to-stand-with-reach,"Squat-to-Stand with Reach",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
lateral-lunge-shift,"Lateral Lunge Shift",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
glute-bridge,"Glute Bridge",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
glute-bridge-march,"Glute Bridge March",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dead-bug-heel-tap,"Dead Bug Heel Tap",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
bird-dog,"Bird Dog",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
mini-band-lateral-walk,"Mini-Band Lateral Walk",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
